start,end,length
95,50379,101.82499999999999
96,1825,241.86899999999997
97,41488,21.22
97,47225,60.698
98,1832,274.03299999999996
1832,98,274.03299999999996
99,43894,29.651
99,43895,65.77199999999999
100,104,132.781
100,101,133.751
101,109,88.47699999999999
101,102,36.784000000000006
102,49860,92.95399999999998
102,103,25.113999999999997
103,49325,102.43800000000002
103,50546,158.67999999999995
104,1456,130.498
104,1502,73.918
105,854,168.435
105,2315,274.625
2315,105,274.625
105,129,89.324
129,105,89.324
105,1317,86.04599999999999
1317,105,86.04599999999999
106,132,148.857
106,43887,146.11700000000002
107,106,110.53200000000001
108,51171,18.644
108,43888,158.03300000000002
43888,108,158.03300000000002
109,1274,131.053
109,1492,76.813
109,49860,134.887
110,950,91.81200000000001
110,2074,88.095
111,78,12.466
112,74,164.293
113,276,78.256
276,113,78.256
113,49676,134.546
113,2736,79.59100000000001
2736,113,79.59100000000001
114,130,15.531
114,115,401.584
115,43788,1189.184
116,553,73.948
553,116,73.948
116,117,140.08100000000002
117,44893,29.968000000000004
118,49327,5.467
118,41711,353.956
119,43901,143.549
119,2694,79.80900000000001
120,42579,296.62699999999995
120,119,59.07
121,1257,86.462
121,2429,118.429
122,2310,274.18199999999996
122,53153,86.13
53153,122,86.13
123,77,72.66099999999999
125,53330,29.135
126,610,14.532
127,1851,80.544
128,54299,123.98499999999999
54299,128,123.98499999999999
129,2316,274.253
129,135,232.098
135,129,232.098
130,116,78.22099999999999
131,43954,86.15799999999999
43954,131,86.15799999999999
131,46715,18.417
132,160,1047.727
133,134,119.76500000000001
133,43892,204.131
134,42581,130.803
135,1318,82.751
1318,135,82.751
136,1630,485.8979999999999
136,52556,297.49999999999994
137,52750,120.93999999999998
138,42582,30.471
139,896,133.335
139,42591,156.19299999999998
140,53159,112.876
140,53161,93.49
53161,140,93.49
141,42589,33.213
42589,141,33.213
142,50450,119.49400000000001
142,111,66.023
143,142,54.753
143,110,49.852000000000004
144,137,108.839
144,49698,28.292
145,48860,12.939
48860,145,12.939
145,43979,256.193
43979,145,256.193
145,2631,76.877
146,49690,23.987000000000002
49690,146,23.987000000000002
146,45121,357.31300000000005
45121,146,357.31300000000005
147,42578,633.0920000000001
147,151,259.67400000000004
147,50341,437.0339999999999
50341,147,437.0339999999999
148,42386,81.091
42386,148,81.091
148,1174,59.44800000000001
1174,148,59.44800000000001
148,2387,76.931
149,61,328.92499999999995
149,42564,271.20300000000003
150,44174,195.578
150,3117,91.60499999999999
151,51166,383.479
152,45974,37.293
152,3025,72.797
153,2887,160.788
154,53163,47.106
154,42543,901.9090000000001
155,43881,121.70899999999999
156,157,111.345
157,156,111.345
157,45127,192.101
45127,157,192.101
157,49690,350.526
49690,157,350.526
158,49581,101.651
158,49699,71.62
159,99,85.11100000000002
160,159,109.36399999999999
160,134,461.017
161,42562,110.23499999999999
161,1135,668.4569999999998
162,41403,163.637
162,2211,51.043
2211,162,51.043
162,313,39.803999999999995
313,162,39.803999999999995
163,50065,135.651
163,2885,172.662
164,163,169.678
165,2719,160.87499999999997
166,43718,18.308
43718,166,18.308
166,473,79.866
166,167,132.421
167,166,132.421
167,474,88.696
167,168,80.822
168,167,80.822
168,2111,225.22299999999998
168,169,82.34599999999999
169,168,82.34599999999999
169,476,123.39099999999999
169,170,78.513
170,169,78.513
170,2113,173.279
170,171,82.60300000000001
171,170,82.60300000000001
171,172,118.241
172,171,118.241
171,478,157.555
172,47501,105.30999999999999
47501,172,105.30999999999999
172,479,184.13099999999997
479,172,184.13099999999997
172,173,227.69299999999998
173,172,227.69299999999998
173,174,77.548
174,173,77.548
173,481,233.72899999999998
481,173,233.72899999999998
174,175,77.396
175,174,77.396
175,176,78.382
176,175,78.382
176,1294,127.82000000000001
176,177,77.407
177,176,77.407
177,485,171.359
177,178,79.221
178,177,79.221
178,545,202.35899999999998
178,179,77.91799999999999
179,178,77.91799999999999
179,487,149.25900000000001
179,180,56.432
180,179,56.432
180,181,79.26400000000001
181,180,79.26400000000001
181,489,134.43200000000002
181,182,73.289
182,181,73.289
182,41444,97.759
41444,182,97.759
182,3166,79.305
183,41447,77.75800000000001
41447,183,77.75800000000001
183,184,108.21999999999998
184,183,108.21999999999998
183,317,196.40099999999998
184,2376,85.516
2376,184,85.516
184,792,82.684
792,184,82.684
184,185,141.077
185,184,141.077
185,186,142.92000000000002
186,185,142.92000000000002
186,3029,81.21100000000001
3029,186,81.21100000000001
186,187,197.87
187,186,197.87
187,46000,76.597
46000,187,76.597
187,188,248.614
188,187,248.614
188,1490,308.769
1490,188,308.769
188,45109,268.892
45109,188,268.892
188,324,86.893
324,188,86.893
189,190,214.63400000000001
190,3178,35.362
3178,190,35.362
190,3144,75.977
3144,190,75.977
191,192,95.02499999999999
191,2390,39.596000000000004
192,193,58.203
192,3062,37.382999999999996
3062,192,37.382999999999996
